10:27:44.055 [http-nio-9009-exec-2] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:27:44.059 [http-nio-9009-exec-3] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:28:15.283 [http-nio-9009-exec-6] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:28:15.284 [http-nio-9009-exec-5] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:28:30.473 [http-nio-9009-exec-7] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:28:34.497 [http-nio-9009-exec-8] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:28:38.893 [http-nio-9009-exec-9] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:28:42.336 [http-nio-9009-exec-10] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:28:44.966 [http-nio-9009-exec-3] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:30:22.093 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:33:30.374 [http-nio-9009-exec-5] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:33:30.372 [http-nio-9009-exec-6] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:34:14.092 [http-nio-9009-exec-10] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:34:14.232 [http-nio-9009-exec-9] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:35:22.104 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
10:36:02.984 [http-nio-9009-exec-6] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:36:03.015 [http-nio-9009-exec-5] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:39:05.309 [http-nio-9009-exec-3] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:39:05.309 [http-nio-9009-exec-9] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
10:39:42.371 [http-nio-9009-exec-4] INFO  c.i.u.b.r.c.ReportController - getTasksListByDepartment entered
10:39:42.489 [http-nio-9009-exec-6] INFO  c.i.u.b.r.c.ReportController - getTasksListByOwner entered
